'sample interval','ECG1','ECG2'
'0.004 sec','mV','mV'
0,-0.265,-0.055
1,-0.320,-0.060
2,-0.335,-0.065
3,-0.335,-0.065
4,-0.335,-0.065
5,-0.340,-0.070
6,-0.345,-0.075
7,-0.330,-0.070
8,-0.315,-0.065
9,-0.310,-0.065
10,-0.305,-0.065
11,-0.300,-0.070
12,-0.295,-0.075
13,-0.295,-0.080
14,-0.295,-0.085
15,-0.285,-0.085
16,-0.275,-0.085
17,-0.270,-0.085
18,-0.265,-0.085
19,-0.260,-0.095
20,-0.255,-0.105
21,-0.255,-0.110
22,-0.250,-0.115
23,-0.240,-0.115
24,-0.230,-0.115
25,-0.220,-0.120
26,-0.215,-0.130
27,-0.210,-0.140
28,-0.205,-0.150
29,-0.200,-0.160
30,-0.190,-0.165
31,-0.180,-0.165
32,-0.170,-0.165
33,-0.160,-0.170
34,-0.155,-0.180
35,-0.150,-0.190
36,-0.135,-0.205
37,-0.120,-0.220
38,-0.110,-0.225
39,-0.100,-0.225
40,-0.085,-0.230
41,-0.070,-0.240
42,-0.050,-0.255
43,-0.035,-0.265
44,-0.020,-0.275
45,-0.005,-0.285
46,0.010,-0.285
47,0.025,-0.285
48,0.040,-0.285
49,0.055,-0.285
50,0.065,-0.290
51,0.075,-0.295
52,0.085,-0.290
53,0.095,-0.285
54,0.095,-0.275
55,0.095,-0.265
56,0.105,-0.245
57,0.110,-0.230
58,0.095,-0.215
59,0.080,-0.200
60,0.060,-0.185
61,0.040,-0.170
62,0.020,-0.150
63,-0.005,-0.120
64,-0.030,-0.090
65,-0.055,-0.075
66,-0.080,-0.070
67,-0.105,-0.060
68,-0.125,-0.050
69,-0.140,-0.040
70,-0.160,-0.030
71,-0.170,-0.020
72,-0.180,-0.010
73,-0.185,-0.005
74,-0.185,-0.010
75,-0.185,-0.015
76,-0.190,-0.010
77,-0.195,-0.005
78,-0.200,-0.010
79,-0.205,-0.010
80,-0.200,0.000
81,-0.195,0.005
