'sample interval','V4'
'0.004 sec','mV'
0,9.481
1,9.492
2,9.508
3,9.508
4,9.541
5,9.551
6,9.568
7,9.584
8,9.605
9,9.616
10,9.643
11,9.686
12,9.708
13,9.751
14,9.778
15,9.854
16,9.865
17,9.892
18,9.935
19,9.978
20,10.000
21,10.049
22,10.086
23,10.124
24,10.157
25,10.184
26,10.195
27,10.238
28,10.249
29,10.259
30,10.270
31,10.292
32,10.292
33,10.281
34,10.270
35,10.270
36,10.227
37,10.222
38,10.195
39,10.157
40,10.114
41,10.076
42,10.059
43,9.968
44,9.935
45,9.876
46,9.811
47,9.762
48,9.692
49,9.643
50,9.595
51,9.568
52,9.519
53,9.492
54,9.459
55,9.432
56,9.427
57,9.373
58,9.427
59,9.373
60,9.373
61,9.357
62,9.346
63,9.357
64,9.346
65,9.335
66,9.335
67,9.324
68,9.319
69,9.335
70,9.335
71,9.335
72,9.335
73,9.319
74,9.373
75,9.346
76,9.335
77,9.346
78,9.319
79,9.324
80,9.324
81,9.319
82,9.319
83,9.319
84,9.308
85,9.308
86,9.308
87,9.292
88,9.292
89,9.297
90,9.292
91,9.281
92,9.270
93,9.259
94,9.238
95,9.249
96,9.238
97,9.222
98,9.222
99,9.222
100,9.222
101,9.173
102,9.200
103,9.195
104,9.195
105,9.195
106,9.184
107,9.184
108,9.195
109,9.173
110,9.162
111,9.184
112,9.162
113,9.162
114,9.162
115,9.184
116,9.162
117,9.114
118,9.157
119,9.157
120,9.162
121,9.157
122,9.157
123,9.157
124,9.157
125,9.157
126,9.157
127,9.146
128,9.157
129,9.146
130,9.135
131,9.146
132,9.157
133,9.114
134,9.146
135,9.124
136,9.124
137,9.135
138,9.135
139,9.124
140,9.135
141,9.124
142,9.124
143,9.124
144,9.114
145,9.124
146,9.135
147,9.114
148,9.124
149,9.124
150,9.124
151,9.124
152,9.135
153,9.114
154,9.135
155,9.124
156,9.124
157,9.114
158,9.124
159,9.146
160,9.086
161,9.124
162,9.124
163,9.114
164,9.114
165,9.124
166,9.124
167,9.124
168,9.124
169,9.114
170,9.124
171,9.124
172,9.114
173,9.114
174,9.124
175,9.124
176,9.086
177,9.114
178,9.114
179,9.114
180,9.103
181,9.103
182,9.103
183,9.103
184,9.103
185,9.103
186,9.114
187,9.114
188,9.103
189,9.103
190,9.103
191,9.103
192,9.103
193,9.103
194,9.103
195,9.103
196,9.114
197,9.124
198,9.114
199,9.114
200,9.114
201,9.114
202,9.114
203,9.114
204,9.114
205,9.124
206,9.114
207,9.114
208,9.114
209,9.103
210,9.103
211,9.114
212,9.114
213,9.124
214,9.124
215,9.124
216,9.124
217,9.114
218,9.135
219,9.076
220,9.114
221,9.114
222,9.135
223,9.124
224,9.124
225,9.124
226,9.135
227,9.135
228,9.135
229,9.146
230,9.135
231,9.135
232,9.146
233,9.146
234,9.146
235,9.114
236,9.157
237,9.146
238,9.157
239,9.157
240,9.157
241,9.157
242,9.162
243,9.162
244,9.157
245,9.162
246,9.162
247,9.162
248,9.157
249,9.162
250,9.184
251,9.162
252,9.162
253,9.173
254,9.173
255,9.184
256,9.195
257,9.195
258,9.184
259,9.195
260,9.195
261,9.200
262,9.184
263,9.238
264,9.238
265,9.238
266,9.259
267,9.281
268,9.270
269,9.259
270,9.238
271,9.238
272,9.238
273,9.222
274,9.238
275,9.259
276,9.249
277,9.238
278,9.200
279,9.238
280,9.238
281,9.222
282,9.200
283,9.195
284,9.195
285,9.200
286,9.200
287,9.200
288,9.222
289,9.200
290,9.222
291,9.211
292,9.222
293,9.222
294,9.184
295,9.184
296,9.124
297,9.146
298,9.249
299,9.449
300,9.751
301,10.086
302,10.449
303,10.616
304,10.643
305,10.595
306,10.605
307,10.568
308,10.470
309,10.146
310,9.432
311,8.697
312,8.676
313,8.962
314,9.114
315,9.146
316,9.114
317,9.103
318,9.146
319,9.227
320,9.259
321,9.227
322,9.297
323,9.308
324,9.308
325,9.308
326,9.335
327,9.346
328,9.346
329,9.346
330,9.373
331,9.373
332,9.395
333,9.395
334,9.416
335,9.416
336,9.416
337,9.470
338,9.449
339,9.449
340,9.459
341,9.449
342,9.470
343,9.492
344,9.497
345,9.492
346,9.519
347,9.508
348,9.530
349,9.551
350,9.568
351,9.568
352,9.605
353,9.627
354,9.643
355,9.643
356,9.665
357,9.692
358,9.719
359,9.762
360,9.778
361,9.811
362,9.854
363,9.892
364,9.924
365,9.951
366,10.011
367,10.049
368,10.092
369,10.114
370,10.157
371,10.184
372,10.211
373,10.238
374,10.259
375,10.281
376,10.297
377,10.297
378,10.308
379,10.297
380,10.308
381,10.270
382,10.259
383,10.227
384,10.195
385,10.162
386,10.114
387,10.070
388,10.022
389,9.935
390,9.886
391,9.822
392,9.778
393,9.719
394,9.665
395,9.595
396,9.605
397,9.508
398,9.459
399,9.432
400,9.395
401,9.373
402,9.357
403,9.335
404,9.319
405,9.319
406,9.292
407,9.281
408,9.281
409,9.281
410,9.270
411,9.281
412,9.281
413,9.281
414,9.281
415,9.281
416,9.292
417,9.270
418,9.281
419,9.270
420,9.259
421,9.281
422,9.292
423,9.308
424,9.292
425,9.270
426,9.281
427,9.281
428,9.270
429,9.259
430,9.259
431,9.259
432,9.259
433,9.227
434,9.222
435,9.227
436,9.222
437,9.222
438,9.222
439,9.157
440,9.195
441,9.184
442,9.162
443,9.157
444,9.146
445,9.146
446,9.146
447,9.124
448,9.114
449,9.114
450,9.103
451,9.114
452,9.086
453,9.103
454,9.092
455,9.049
456,9.086
457,9.076
458,9.086
459,9.076
460,9.086
461,9.086
462,9.070
463,9.070
464,9.070
465,9.070
466,9.070
467,9.070
468,9.070
469,9.049
470,9.059
471,9.038
472,9.059
473,9.038
474,9.038
475,9.049
476,9.059
477,9.038
478,9.038
479,9.038
480,9.049
481,9.049
482,9.000
483,9.038
484,9.038
485,9.049
486,9.038
487,9.038
488,9.038
489,9.038
490,9.038
491,9.038
492,9.049
493,9.038
494,9.027
495,9.038
496,9.038
497,9.027
498,9.000
499,9.027
500,9.027
501,9.027
502,9.027
503,9.038
504,9.038
505,9.049
506,9.027
507,9.027
508,9.038
509,9.038
510,9.038
511,9.027
512,9.027
513,9.038
514,9.011
515,9.038
516,9.027
517,9.027
518,9.027
519,9.027
520,9.027
521,9.027
522,9.027
523,9.027
524,9.038
525,9.022
526,9.027
527,9.027
528,9.022
529,9.027
530,9.011
531,9.027
532,9.022
533,9.027
534,9.011
535,9.011
536,9.011
537,9.011
538,9.022
539,9.022
540,9.022
541,8.978
542,9.022
543,9.022
544,9.027
545,9.022
546,9.022
547,9.011
548,9.022
549,9.027
550,9.027
551,9.027
552,9.027
553,9.027
554,9.027
555,9.027
556,9.022
557,8.989
558,9.038
559,9.038
560,9.038
561,9.027
562,9.049
563,9.049
564,9.038
565,9.049
566,9.049
567,9.049
568,9.038
569,9.049
570,9.049
571,9.070
572,9.070
573,9.049
574,9.070
575,9.049
576,9.070
577,9.059
578,9.070
579,9.070
580,9.070
581,9.070
582,9.070
583,9.076
584,9.076
585,9.076
586,9.076
587,9.076
588,9.086
589,9.086
590,9.076
591,9.076
592,9.086
593,9.086
594,9.086
595,9.086
596,9.092
597,9.076
598,9.092
599,9.092
600,9.070
601,9.103
602,9.103
603,9.124
604,9.114
605,9.124
606,9.146
607,9.162
608,9.157
609,9.173
610,9.200
611,9.195
612,9.195
613,9.184
614,9.184
615,9.162
616,9.135
617,9.184
618,9.195
619,9.184
620,9.184
621,9.184
622,9.184
623,9.184
624,9.157
625,9.124
626,9.146
627,9.124
628,9.135
629,9.114
630,9.135
631,9.135
632,9.114
633,9.135
634,9.146
635,9.157
636,9.157
637,9.157
638,9.124
639,9.076
640,9.086
641,9.195
642,9.357
643,9.676
644,9.968
645,10.346
646,10.562
647,10.605
648,10.605
649,10.573
650,10.551
651,10.443
652,10.184
653,9.541
654,8.827
655,8.573
656,8.778
657,8.968
658,9.070
659,9.011
660,9.038
661,9.059
662,9.124
663,9.195
664,9.227
665,9.222
666,9.227
667,9.238
668,9.259
669,9.270
670,9.270
671,9.281
672,9.292
673,9.292
674,9.297
675,9.357
676,9.324
677,9.324
678,9.335
679,9.335
680,9.346
681,9.346
682,9.373
683,9.384
684,9.384
685,9.384
686,9.395
687,9.416
688,9.427
689,9.427
690,9.427
691,9.449
692,9.449
693,9.459
694,9.492
695,9.497
696,9.519
