'sample interval','MLII','V1'
'0.004 sec','mV','mV'
0,-0.320,-1.240
1,-0.320,-1.240
2,-0.320,-1.240
3,-0.320,-1.240
4,-0.320,-1.290
5,0.030,-1.385
6,0.465,-1.485
7,0.955,-1.565
8,1.495,-1.575
9,1.995,-1.545
10,2.270,-1.425
11,2.210,-1.265
12,1.595,-1.120
13,0.670,-1.030
14,-0.250,-0.975
15,-1.170,-0.925
16,-1.630,-0.870
17,-1.255,-0.850
18,-0.935,-0.860
19,-0.870,-0.880
20,-0.975,-0.880
21,-1.105,-0.850
22,-1.190,-0.825
23,-1.180,-0.800
24,-1.170,-0.785
25,-1.155,-0.765
26,-1.125,-0.775
27,-1.150,-0.790
28,-1.165,-0.790
29,-1.180,-0.780
30,-1.185,-0.775
31,-1.160,-0.755
32,-1.135,-0.735
33,-1.110,-0.755
34,-1.080,-0.760
35,-1.090,-0.775
36,-1.100,-0.790
37,-1.110,-0.780
38,-1.110,-0.765
39,-1.105,-0.740
40,-1.075,-0.730
41,-1.050,-0.730
42,-1.035,-0.730
43,-1.030,-0.745
44,-1.020,-0.740
45,-1.005,-0.760
46,-1.000,-0.750
47,-0.970,-0.725
48,-0.935,-0.690
49,-0.910,-0.680
50,-0.895,-0.680
51,-0.885,-0.705
52,-0.845,-0.710
53,-0.830,-0.700
54,-0.815,-0.680
55,-0.770,-0.655
56,-0.710,-0.640
57,-0.655,-0.625
58,-0.595,-0.620
59,-0.560,-0.625
60,-0.515,-0.640
61,-0.495,-0.645
62,-0.485,-0.645
63,-0.470,-0.630
64,-0.445,-0.615
65,-0.410,-0.585
66,-0.355,-0.575
67,-0.340,-0.590
68,-0.335,-0.620
69,-0.355,-0.640
70,-0.385,-0.645
71,-0.420,-0.625
72,-0.465,-0.625
73,-0.495,-0.630
74,-0.545,-0.645
75,-0.565,-0.645
76,-0.675,-0.685
77,-0.735,-0.705
78,-0.810,-0.740
79,-0.880,-0.720
80,-0.950,-0.725
81,-1.005,-0.725
82,-1.050,-0.730
83,-1.075,-0.700
84,-1.115,-0.685
85,-1.130,-0.720
86,-1.165,-0.780
87,-1.215,-0.810
88,-1.255,-0.800
89,-1.260,-0.770
90,-1.235,-0.725
91,-1.215,-0.735
92,-1.220,-0.750
93,-1.235,-0.760
94,-1.250,-0.780
95,-1.260,-0.775
96,-1.275,-0.735
97,-1.275,-0.745
98,-1.260,-0.745
99,-1.250,-0.745
100,-1.235,-0.750
101,-1.240,-0.730
102,-1.240,-0.745
103,-1.245,-0.745
104,-1.265,-0.750
105,-1.265,-0.740
106,-1.240,-0.725
107,-1.210,-0.715
108,-1.210,-0.705
109,-1.225,-0.715
110,-1.240,-0.730
111,-1.260,-0.735
112,-1.265,-0.720
113,-1.270,-0.715
114,-1.265,-0.705
115,-1.245,-0.715
116,-1.225,-0.735
117,-1.235,-0.760
118,-1.255,-0.745
119,-1.285,-0.760
120,-1.300,-0.750
121,-1.305,-0.775
122,-1.295,-0.780
123,-1.290,-0.755
124,-1.295,-0.735
125,-1.295,-0.725
126,-1.305,-0.730
